RB_4800kcal_fob,RB_5500kcal_fob,RB_6000kcal_avg,India_5500kcal_cfr,year,month,day,day_of_week,quarter,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
0.31630466075941266,0.3311853484822791,0.24345829220635334,0.3371776977888782,0.75,0.9999999999999999,0.0,1.0,1.0,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2872618334331936,0.2872618334331936
0.31630466075941266,0.3311853484822791,0.24345829220635334,0.3371776977888782,0.75,0.9999999999999999,0.1,0.0,1.0,0.28946674655482324,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2872618334331936
0.31630466075941266,0.3311853484822791,0.24345829220635334,0.3371776977888782,0.75,0.9999999999999999,0.13333333333333333,0.25,1.0,0.28946674655482324,0.28946674655482324,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2911923307369683
0.31630466075941266,0.3311853484822791,0.24345829220635334,0.3371776977888782,0.75,0.9999999999999999,0.16666666666666669,0.5,1.0,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.2911923307369683,0.2911923307369683,0.2911923307369683,0.2911923307369683
0.31630466075941266,0.3311853484822791,0.24345829220635334,0.3371776977888782,0.75,0.9999999999999999,0.2,0.75,1.0,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.2911923307369683,0.2911923307369683,0.2911923307369683
0.302037682735677,0.30930981855180606,0.23044538001329495,0.32576703641127347,0.75,0.9999999999999999,0.23333333333333334,1.0,1.0,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.2911923307369683,0.2911923307369683
0.302037682735677,0.30930981855180606,0.23044538001329495,0.32576703641127347,0.75,0.9999999999999999,0.3333333333333333,0.0,1.0,0.26641102456560817,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.2911923307369683
0.302037682735677,0.30930981855180606,0.23044538001329495,0.32576703641127347,0.75,0.9999999999999999,0.3666666666666667,0.25,1.0,0.26641102456560817,0.26641102456560817,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324
0.302037682735677,0.30930981855180606,0.23044538001329495,0.32576703641127347,0.75,0.9999999999999999,0.4,0.5,1.0,0.26641102456560817,0.26641102456560817,0.26641102456560817,0.28946674655482324,0.28946674655482324,0.28946674655482324,0.28946674655482324
0.302037682735677,0.30930981855180606,0.23044538001329495,0.32576703641127347,0.75,0.9999999999999999,0.43333333333333335,0.75,1.0,0.26641102456560817,0.26641102456560817,0.26641102456560817,0.26641102456560817,0.28946674655482324,0.28946674655482324,0.28946674655482324
